"iso3","year","gdp_current_usd"
"AFE",2023,1179359054880.45
"AFE",2018,1020955778298.17
"AFE",2013,981308886976.783
"AFE",2008,726770401376.729
"AFE",2003,358116081062.427
"AFW",2023,938238370514.198
"AFW",2018,777840323023.311
"AFW",2013,844180401591.48
"AFW",2008,574259808704.121
"AFW",2003,208646527354.851
"ARB",2023,3622495663981.78
"ARB",2018,2920829737234.67
"ARB",2013,2883689839002.54
"ARB",2008,2118071078804.52
"ARB",2003,830076413454.428
"CSS",2023,79534673452.944
"CSS",2018,61252081219.8672
"CSS",2013,62064949752.4886
"CSS",2008,57296315261.9305
"CSS",2003,30589389405.8968
"CEB",2023,2273205742208.3
"CEB",2018,1656383422202.66
"CEB",2013,1420222538112.93
"CEB",2008,1530264815688.71
"CEB",2003,634291134326.277
"EAR",2023,14933453330998.3
"EAR",2018,11478917653356.5
"EAR",2013,10330333855700.2
"EAR",2008,7461798613306.43
"EAR",2003,3622513779274.76
"EAS",2023,31417826880875
"EAS",2018,26853593303707.3
"EAS",2013,21659293723344.2
"EAS",2008,14343483215174.2
"EAS",2003,8753448863353.34
"EAP",2023,21644412635340.6
"EAP",2018,16902110052652.3
"EAP",2013,12047512338954.1
"EAP",2008,6062017772754.35
"EAP",2003,2337899791147.23
"TEA",2023,21617676926854.5
"TEA",2018,16881316789674.4
"TEA",2013,12032711129058.2
"TEA",2008,6054648571433.55
"TEA",2003,2335145056810.17
"EMU",2023,15854782417877
"EMU",2018,13871778197583.7
"EMU",2013,13357283141903.1
"EMU",2008,14295718485782.5
"EMU",2003,8921228124667.76
"ECS",2023,27732942821913.5
"ECS",2018,23342642668393.2
"ECS",2013,23574066317473.4
"ECS",2008,23453627549028.2
"ECS",2003,13567083586398.5
"ECA",2023,2143244215113.25
"ECA",2018,1477488205993.51
"ECA",2013,1808692800315.95
"ECA",2008,1402429749896
"ECA",2003,498092410579.851
"TEC",2023,5562782514647.52
"TEC",2018,4098990245510.03
"TEC",2013,4924806846375.52
"TEC",2008,3936159309738.01
"TEC",2003,1261017408610.72
"EUU",2023,18659133072074.8
"EUU",2018,16092403309151.5
"EUU",2013,15398507628838.6
"EUU",2008,16364455236166.7
"EUU",2003,9956860723577.65
"FCS",2023,1778723185468.2
"FCS",2018,1556210403398.5
"FCS",2013,1825595058878.46
"FCS",2008,1484312853576.3
"FCS",2003,469847559925.415
"HPC",2023,1060316071770.29
"HPC",2018,790373898773.38
"HPC",2013,667314194885.704
"HPC",2008,481623936903.302
"HPC",2003,216610034974.425
"IBD",2023,39248258733753.5
"IBD",2018,30736778363828.6
"IBD",2013,26784320183315.7
"IBD",2008,17144385222961.7
"IBD",2003,6814152968102.6
"IBT",2023,42176516066439
"IBT",2018,33147599934551.5
"IBT",2013,28855638007106.6
"IBT",2008,18563872439706.4
"IBT",2003,7438042806499.1
"IDB",2023,1272526278004.68
"IDB",2018,1125278097800.27
"IDB",2013,1071507625598.43
"IDB",2008,714771797908.919
"IDB",2003,302939673645.116
"IDX",2023,1655731054680.85
"IDX",2018,1285543472922.63
"IDX",2013,999810198192.524
"IDX",2008,704715418835.766
"IDX",2003,322063889070.297
"IDA",2023,2928257332685.53
"IDA",2018,2410821570722.89
"IDA",2013,2071317823790.95
"IDA",2008,1419487216744.69
"IDA",2003,624668567081.956
"LTE",2023,28934446547714.4
"LTE",2018,22907660419321.1
"LTE",2013,19233518032034.2
"LTE",2008,11750024639145.1
"LTE",2003,4286645021053.17
"LCN",2023,6910660006084.82
"LCN",2018,5581100995040.84
"LCN",2013,6252550709058.29
"LCN",2008,4644093134666.99
"LCN",2003,2091901136740.59
"LAC",2023,6014673692976.05
"LAC",2018,4816735877469.79
"LAC",2013,5385615104389.87
"LAC",2008,3900603654602.57
"LAC",2003,1776708359686.86
"TLA",2023,6591336702938.76
"TLA",2018,5347056434773.57
"TLA",2013,6044625148403.94
"TLA",2008,4465814702669.79
"TLA",2003,1960517216397.37
"LDC",2023,1459966948607.94
"LDC",2018,1116339519831.8
"LDC",2013,924685867947.027
"LDC",2008,635557886673.675
"LDC",2003,270939350485.977
"LMY",2023,38059330027173
"LMY",2018,29945950603040.9
"LMY",2013,25060996541842.1
"LMY",2008,15453988213684.3
"LMY",2003,6490136867597.51
"MEA",2023,4905729965245.33
"MEA",2018,4050508431278.92
"MEA",2013,3915741985695.48
"MEA",2008,2889953352465.81
"MEA",2003,1208917725723.26
"MNA",2023,2094668147144.99
"MNA",2018,1877875348076.98
"MNA",2013,1930423514701.75
"MNA",2008,1466149480564.83
"MNA",2003,624719536900.607
"TMN",2023,2076820247144.99
"TMN",2018,1861598748076.98
"TMN",2013,1916908014701.75
"TMN",2008,1458839080564.83
"TMN",2003,620751536900.607
"MIC",2023,37622349618946.3
"MIC",2018,29601678469854.1
"MIC",2013,24703471814277.2
"MIC",2008,15135753455448.7
"MIC",2003,6355971327725.67
"NAC",2023,29474089705278.7
"NAC",2018,22265612481783
"NAC",2013,18696254170835
"NAC",2008,16329827601721.7
"NAC",2003,12356169212634.8
"OED",2023,64648892594414.4
"OED",2018,53652083661573
"OED",2013,49513745558643.5
"OED",2008,46310285113488.4
"OED",2003,32044541404358.8
"OSS",2023,196615944595.18
"OSS",2018,158073876709.73
"OSS",2013,130969039548.284
"OSS",2008,125084843511.023
"OSS",2003,64819023763.2045
"PSS",2023,11224282183.2085
"PSS",2018,10796141328.2336
"PSS",2013,8541905877.81349
"PSS",2008,6698070453.1824
"PSS",2003,4235417103.89125
"PST",2023,60342185357196.2
"PST",2018,50607464286251.2
"PST",2013,46413780180350.6
"PST",2008,43606905463177.5
"PST",2003,30628727069752.9
"PRE",2023,1680243373294.08
"PRE",2018,1372023278046.38
"PRE",2013,1476563371928.86
"PRE",2008,1008759607190.09
"PRE",2003,340468658786.46
"SST",2023,287374900231.333
"SST",2018,230122099257.831
"SST",2013,201575895178.586
"SST",2008,189079229226.136
"SST",2003,99643830272.9925
"SAS",2023,4210302249458.65
"SAS",2018,3159841615195.07
"SAS",2013,2111097579998.97
"SAS",2008,1347380565219.4
"SAS",2003,694775911444.331
