"iso3","year","population"
"AFE",2023,750491370
"AFE",2018,657801085
"AFE",2013,575202699
"AFE",2008,502070763
"AFE",2003,439173286
"AFW",2023,509398589
"AFW",2018,452195915
"AFW",2013,396030207
"AFW",2008,344586109
"AFW",2003,299142845
"ARB",2023,482105978
"ARB",2018,435998060
"ARB",2013,390954281
"ARB",2008,347684619
"ARB",2003,307815105
"CSS",2023,4519904
"CSS",2018,4407658
"CSS",2013,4257682
"CSS",2008,4124966
"CSS",2003,4050990
"CEB",2023,100183707
"CEB",2018,102074201
"CEB",2013,103570062
"CEB",2008,105001883
"CEB",2003,106624167
"EAR",2023,3511607650
"EAR",2018,3314245247
"EAR",2013,3103677284
"EAR",2008,2875943965
"EAR",2003,2647109296
"EAS",2023,2384441485
"EAS",2018,2347576325
"EAS",2013,2267072102
"EAS",2008,2183472438
"EAS",2003,2102761941
"EAP",2023,2137527754
"EAP",2018,2100698838
"EAP",2013,2023850158
"EAP",2008,1944305887
"EAP",2003,1868409996
"TEA",2023,2111139152
"TEA",2018,2074796982
"TEA",2013,1998548872
"TEA",2008,1919570287
"TEA",2003,1844349334
"EMU",2023,349762722
"EMU",2018,345864630
"EMU",2013,341639530
"EMU",2008,338978475
"EMU",2003,330286340
"ECS",2023,924773523
"ECS",2018,918689254
"ECS",2013,899907172
"ECS",2008,884224673
"ECS",2003,870529446
"ECA",2023,248721385
"ECA",2018,246400484
"ECA",2013,235905150
"ECA",2008,226524480
"ECA",2003,221399692
"TEC",2023,458602212
"TEC",2018,459946883
"TEC",2013,449128604
"TEC",2008,439732746
"TEC",2003,437905932
"EUU",2023,448897545
"EUU",2018,446329890
"EUU",2013,442425741
"EUU",2008,440270719
"EUU",2003,432512916
"FCS",2023,1057033168
"FCS",2018,951851595
"FCS",2013,851404936
"FCS",2008,753058095
"FCS",2003,667644273
"HPC",2023,917304254
"HPC",2018,802020674
"HPC",2013,694622934
"HPC",2008,604007702
"HPC",2003,524773987
"IBD",2023,4952212190
"IBD",2018,4806981820
"IBD",2013,4581958556
"IBD",2008,4346234014
"IBD",2003,4122775918
"IBT",2023,6858521511
"IBT",2018,6518058354
"IBT",2013,6120456890
"IBT",2008,5720065907
"IBT",2003,5341840046
"IDB",2023,664395892
"IDB",2018,601951913
"IDB",2013,544442648
"IDB",2008,482975881
"IDB",2003,425311302
"IDX",2023,1241913429
"IDX",2018,1109124621
"IDX",2013,994055686
"IDX",2008,890856012
"IDX",2003,793752826
"IDA",2023,1906309321
"IDA",2018,1711076534
"IDA",2013,1538498334
"IDA",2008,1373831893
"IDA",2003,1219064128
"LTE",2023,2326296729
"LTE",2018,2298394042
"LTE",2013,2225005187
"LTE",2008,2153941306
"LTE",2003,2086139068
"LCN",2023,657616517
"LCN",2018,635778081
"LCN",2013,606683307
"LCN",2008,574908733
"LCN",2003,541643365
"LAC",2023,589889543
"LAC",2018,567711159
"LAC",2013,540118712
"LAC",2008,511659365
"LAC",2003,481977727
"TLA",2023,642397939
"TLA",2018,620274430
"TLA",2013,590809938
"TLA",2008,558968822
"TLA",2003,525787222
"LDC",2023,1160824674
"LDC",2018,1033110314
"LDC",2013,918269633
"LDC",2008,816268129
"LDC",2003,725111768
"LMY",2023,6498875200
"LMY",2018,6169658713
"LMY",2013,5787391504
"LMY",2008,5402245137
"LMY",2003,5034824498
"MEA",2023,797801454
"MEA",2018,730362334
"MEA",2013,667464006
"MEA",2008,597799097
"MEA",2003,530338988
"MNA",2023,729077445
"MNA",2018,668447432
"MNA",2013,613151287
"MNA",2008,552681993
"MNA",2003,494288606
"TMN",2023,723911670
"TMN",2018,663878345
"TMN",2013,609074579
"TMN",2008,549090016
"TMN",2003,491133637
"MIC",2023,5891100497
"MIC",2018,5640136670
"MIC",2013,5322303622
"MIC",2008,4996382425
"MIC",2003,4683580056
"NAC",2023,376954413
"NAC",2018,365666028
"NAC",2013,351870848
"NAC",2008,337404564
"NAC",2003,321812780
"OED",2023,1387897706
"OED",2018,1356470975
"OED",2013,1315427979
"OED",2008,1274711058
"OED",2003,1229012217
"OSS",2023,12822134
"OSS",2018,12135267
"OSS",2013,11466589
"OSS",2008,10862640
"OSS",2003,10269557
"PSS",2023,2689224
"PSS",2018,2542009
"PSS",2013,2382931
"PSS",2008,2240739
"PSS",2003,2120592
"PST",2023,1121315547
"PST",2018,1111377470
"PST",2013,1088424167
"PST",2008,1065603711
"PST",2003,1036498631
"PRE",2023,1078224044
"PRE",2018,946317177
"PRE",2013,822138419
"PRE",2008,708796270
"PRE",2003,614269146
"SST",2023,20031262
"SST",2018,19084934
"SST",2013,18107202
"SST",2008,17228345
"SST",2003,16441139
