normalized_country,iso3,action,suggestion_source,raw_examples,address_occurrences,paper_occurrences,note
peoples r china,CHN,map,builtin,Peoples R China,148038,79306,
usa,USA,map,builtin,USA,77288,49852,
india,IND,map,builtin,India,24416,15077,
germany,DEU,map,builtin,Germany,20293,14026,
japan,JPN,map,builtin,Japan,21362,13996,
england,GBR,map,builtin,England,17929,13850,
france,FRA,map,builtin,France,16695,11010,
spain,ESP,map,builtin,Spain; Spain;,13645,9288,
canada,CAN,map,builtin,Canada,11848,8960,
italy,ITA,map,builtin,Italy,12631,8738,
australia,AUS,map,builtin,Australia,11428,8361,
south korea,KOR,map,builtin,South Korea,11212,7326,
taiwan,TWN,map,builtin,Taiwan,9974,6104,
singapore,SGP,map,builtin,Singapore,6468,4977,
brazil,BRA,map,builtin,Brazil,6856,4282,
iran,IRN,map,builtin,Iran,6204,4054,
netherlands,NLD,map,builtin,Netherlands,5442,4037,
poland,POL,map,builtin,Poland,5240,3989,
switzerland,CHE,map,builtin,Switzerland,4712,3663,
portugal,PRT,map,builtin,Portugal; Portugal;,5076,2846,
malaysia,MYS,map,builtin,Malaysia,3851,2720,
russia,RUS,map,builtin,Russia,3824,2563,
sweden,SWE,map,builtin,Sweden,3114,2392,
turkey,TUR,map,builtin,Turkey,3396,2324,
greece,GRC,map,builtin,Greece,3350,2315,
austria,AUT,map,builtin,Austria,2893,2236,
belgium,BEL,map,builtin,Belgium,2916,2230,
mexico,MEX,map,builtin,Mexico,3168,2144,
czech republic,CZE,map,builtin,Czech Republic,2534,2059,
finland,FIN,map,builtin,Finland,2618,2000,
saudi arabia,SAU,map,builtin,Saudi Arabia,2558,1939,
scotland,GBR,map,builtin,Scotland,2195,1910,
israel,ISR,map,builtin,Israel,2480,1834,
romania,ROU,map,builtin,Romania,2301,1759,
turkiye,TUR,map,builtin,Turkiye,2442,1457,
pakistan,PAK,map,builtin,Pakistan,2207,1431,
denmark,DNK,map,builtin,Denmark,1740,1411,
ireland,IRL,map,builtin,Ireland,1572,1259,
norway,NOR,map,builtin,Norway,1627,1221,
u arab emirates,ARE,map,legacy,U Arab Emirates,1574,1207,
vietnam,VNM,map,builtin,Vietnam,2085,1187,
new zealand,NZL,map,builtin,New Zealand,1477,1180,
egypt,EGY,map,builtin,Egypt,1858,1152,
thailand,THA,map,builtin,Thailand,1505,1080,
algeria,DZA,map,builtin,Algeria,1607,1071,
tunisia,TUN,map,builtin,Tunisia,1415,974,
hungary,HUN,map,builtin,Hungary,1302,926,
indonesia,IDN,map,builtin,Indonesia,1200,795,
south africa,ZAF,map,builtin,South Africa,962,716,
morocco,MAR,map,builtin,Morocco,1079,696,
chile,CHL,map,builtin,Chile,1011,641,
slovakia,SVK,map,builtin,Slovakia,738,620,
slovenia,SVN,map,builtin,Slovenia,765,607,
jordan,JOR,map,builtin,Jordan,1084,571,
serbia,SRB,map,builtin,Serbia,838,571,
colombia,COL,map,builtin,Colombia,883,563,
wales,GBR,map,builtin,Wales,594,557,
